Referans,2023 Liste Fiyatı,Para Birimi
LVR07500A69T,22100,TL
LVR07X00A69T,26860,TL
BLRCH125A150B48,4216,TL
METSEPM8240,66300,TL
METSEPM8243,59500,TL
METSEPM8244,78200,TL
METSEPM89RD96,32164,TL
METSEPM8HWK,3740,TL
A9MEM3265,10880,TL
A9MEM3365,15130,TL
A9MEM3165,10642,TL
METSECT5CC006,714,TL
METSECT5CC008,714,TL
METSECT5CC020,765,TL
METSECT5ME015,850,TL
METSECT5MB025,901,TL
METSECT5MB030,935,TL
METSECT5MB040,952,TL
METSECT5MA015,782,TL
METSECT5MA030,833,TL
METSECT5MA040,901,TL
METSECT5MC025,952,TL
METSECT5MC030,969,TL
METSECT5MC050,1003,TL
METSECT5MC060,1054,TL
METSECT5MD050,1241,TL
METSECT5COVER,204,TL
METSECT5VV600,22814,TL
METSECT5DA050,1428,TL
METSECT5DA060,1428,TL
METSECT5DB100,2635,TL
METSECT5DB150,2856,TL
METSECT5DC250,3383,TL
METSECT5DD100,2295,TL
METSECT5DD125,2244,TL
METSECT5DD150,2244,TL
METSECT5DE100,2380,TL
METSECT5DE125,2635,TL
METSECT5DE150,2635,TL
METSECT5DE200,2839,TL
METSECT5DH125,2635,TL
METSECT5DH150,2635,TL
METSECT5DH200,2839,TL
EBX210,34272,TL
EBX510,42840,TL
METSEDM1110,1292,TL
METSEDM1210,1220.6,TL
METSEDM1310,1377,TL
METSEDM3110,1649,TL
METSEDM3210,1455.2,TL
A9MEM3355,13192,TL
METSECT5CC004,714,TL
BLRCH288A346B48,7208,TL
METSECT5CC013,714,TL
METSECT5CC005,714,TL
METSECT5CC025,782,TL
METSECT5CC015,731,TL
A9MEM3310,9316,TL
BLRCH185A222B52,6086,TL
METSECT5DA125,1802,TL
METSECT5DC200,3111,TL
50282,36040,TL
METSECT5VV500,22814,TL
BLRCH400A480B52,8806,TL
METSECT5DA040,1428,TL
METSECT5DB300,3383,TL
16013,119,TL
BLRCH182A218B44,4488,TL
METSECT5DA080,1496,TL
METSECT5DB250,3315,TL
METSEPM5340,16762,TL
METSEPM5341,18734,TL
METSEPM5561,26554,TL
METSEPM5563,23834,TL
BLRCH111A133B69,7072,TL
METSECT5DB125,2788,TL
METSEPM5100,12104,TL
METSEPM5110,12818,TL
METSEPM5111,16150,TL
METSEPM5310,14518,TL
METSEPM5320,15946,TL
METSEPM5331,14586,TL
METSEPM5330,14756,TL
METSECT5MD080,1411,TL
METSECT5CC010,714,TL
METSECT5DC400,3842,TL
METSECT5MA020,782,TL
METSECT5MA025,782,TL
METSECT5MC040,986,TL
METSECT5DB200,2941,TL
METSECT5MC080,1224,TL
METSECT5DA100,1751,TL
METSECT5DA150,1955,TL
IMD-IM400,33932,TL
BLRCH258A310B48,6664,TL
BLRCH500A000B44,8840,TL
BLRCH300A360B69,11050,TL
BLRCH227A272B48,6528,TL
50498,42500,TL
LVR14065A40T,16898,TL
LVR14125A40T,17068,TL
LVR14250A40T,23324,TL
LVR14500A40T,29138,TL
LVR07X00A40T,35700,TL
LVR07065A40T,13838,TL
LVR05065A40T,12818,TL
LVR05125A40T,13668,TL
LVR05250A40T,17510,TL
LVR05500A40T,20400,TL
LVR05X00A40T,35190,TL
BLRCS027A033B24,1349.8,TL
BLRCH054A065B24,2686,TL
BLRCH027A033B24,2057,TL
BLRCH208A250B48,6494,TL
LVR14X00A40T,48960,TL
LVR07125A40T,14110,TL
LVR07250A40T,17850,TL
LVR07500A40T,20808,TL
A9XMSB11,13192,TL
BLRCH377A452B52,8024,TL
METSEPM3200,8160,TL
METSEPM3210,8330,TL
METSEPM3250,8908,TL
METSEPM3255,9214,TL
16012,119,TL
A9MEM3100,7344,TL
A9MEM3110,7684,TL
A9MEM3115,7888,TL
A9MEM3155,8908,TL
A9MEM3200,6358,TL
A9MEM3210,7344,TL
A9MEM3215,7990,TL
A9MEM3250,8058,TL
A9MEM3255,8908,TL
16074,1632,TL
16075,1632,TL
BLRCS050A060B44,2108,TL
BLRCS100A120B44,2635,TL
BLRCH075A090B48,3604,TL
BLRCH150A180B44,4182,TL
BLRCS125A150B44,2856,TL
BLRCS200A240B44,3842,TL
BLRCS150A180B44,3468,TL
BLRCS250A300B44,4012,TL
BLRCH250A300B69,10132,TL
50278,25500,TL
50499,92480,TL
IMD-IM9,10982,TL
IMD-IM9-OL,12138,TL
IMD-IM10,16796,TL
IMD-IM20,17000,TL
IMD-IM10-H,16320,TL
BLRCH050A060B44,2431,TL
BLRCH100A120B44,3213,TL
BLRCH200A240B44,4624,TL
A9MEM2000T,3400,TL
15443,2142,TL
16009,119,TL
BLRCS303A364B44,4624,TL
BLRCH303A000B44,6494,TL
BLRCH250A300B44,5202,TL
BLRCH125A150B44,3774,TL
50168,11424,TL
IMD-IM20-H,17034,TL
BLRCS050A060B40,1734,TL
BLRCS075A090B40,2006,TL
BLRCS104A125B40,2210,TL
BLRCS125A150B40,2499,TL
BLRCS150A180B40,2873,TL
BLRCS200A240B40,3332,TL
BLRCS250A300B40,3842,TL
BLRCH050A060B40,2295,TL
BLRCH075A090B40,2380,TL
BLRCH104A125B40,2788,TL
BLRCH125A150B40,3145,TL
BLRCH150A180B40,3706,TL
BLRCH250A300B40,5236,TL
BLRCH300A360B40,5644,TL
BLRCH400A480B40,7786,TL
BLRCH500A000B40,8772,TL
BLRCS010A012B40,1207,TL
BLRCS025A030B40,1513,TL
BLRCS075A090B44,2278,TL
BLRCS143A172B44,2941,TL
BLRCS285A342B44,4046,TL
BLRCS088A106B48,2873,TL
BLRCS170A204B48,4216,TL
BLRCS339A407B48,6460,TL
BLRCH075A090B44,2652,TL
BLRCH143A172B44,3876,TL
BLRCH285A342B44,5780,TL
BLRCH571A000B44,9554,TL
BLRCH088A106B48,3842,TL
BLRCH170A204B48,5644,TL
BLRCH339A407B48,7786,TL
BLRCH106A127B52,4522,TL
BLRCH200A240B52,6222,TL
BLRCS155A186B48,3944,TL
BLRCS315A378B48,6154,TL
BLRCH155A186B48,4998,TL
BLRCH315A378B48,7718,TL
16030,1632,TL
16010,119,TL
16014,119,TL
A9A15096,2012.8,TL
A9A26924,666.4,TL
A9F93106,428.4,TL
A9A26946,1849.6,TL
A9A26960,2240.6,TL
A9A26970,1387.2,TL
A9A26975,448.8,TL
A9A26981,2216.8,TL
A9A27062,595,TL
A9C20731,890.8,TL
A9C20732,1213.8,TL
A9C20833,1472.2,TL
A9C20834,1499.4,TL
A9C20843,2859.4,TL
A9C20844,3090.6,TL
A9C21732,1332.8,TL
A9C22711,799,TL
A9C22715,1179.8,TL
A9C22813,1288.6,TL
A9C30111,1625.2,TL
A9C30211,1720.4,TL
A9C30831,1159.4,TL
A9E18030,557.6,TL
A9E18031,557.6,TL
A9E18033,761.6,TL
A9E18034,829.6,TL
A9E18035,829.6,TL
A9E18036,907.8,TL
A9E18037,907.8,TL
A9E18038,907.8,TL
A9E18039,907.8,TL
A9E18070,591.6,TL
A9E18320,370.6,TL
A9E18321,370.6,TL
A9E18324,370.6,TL
A9E18327,1798.6,TL
A9F73101,442,TL
A9F73102,411.4,TL
A9F73103,411.4,TL
A9F73106,251.6,TL
A9F73110,251.6,TL
A9F73116,251.6,TL
A9F73120,251.6,TL
A9F73125,251.6,TL
A9F73132,272,TL
A9F73140,350.2,TL
A9F73150,421.6,TL
A9F73163,499.8,TL
A9F73170,486.2,TL
A9F73202,884,TL
A9F73204,884,TL
A9F73210,714,TL
A9F73216,714,TL
A9F73220,714,TL
A9F73225,714,TL
A9F73232,775.2,TL
A9F73240,850,TL
A9K23106,234.6,TL
A9K23116,210.8,TL
A9K23120,210.8,TL
A9K23125,210.8,TL
A9K23132,248.2,TL
A9K23306,996.2,TL
A9K23316,901,TL
A9K23320,901,TL
A9K23325,901,TL
A9K23332,1057.4,TL
A9K24120,173.4,TL
A9K24125,173.4,TL
A9K24132,204,TL
A9K24306,819.4,TL
A9K24310,795.6,TL
A9K24316,795.6,TL
A9K24325,795.6,TL
A9K24332,836.4,TL
A9R10216,2074,TL
A9F73301,1390.6,TL
A9F73302,1292,TL
A9F73303,1292,TL
A9F73304,1292,TL
A9F73306,1030.2,TL
